iter	Passed	Remaining
0	343	343322
1	346	172916
2	349	116002
3	351	87541
4	354	70453
5	357	59299
6	360	51163
7	363	45075
8	366	40322
9	384	38103
10	399	35880
11	408	33648
12	412	31287
13	415	29263
14	422	27723
15	424	26123
16	427	24712
17	429	23455
18	432	22325
19	438	21503
20	442	20629
21	452	20117
22	455	19360
23	468	19057
24	477	18638
25	483	18107
26	490	17688
27	493	17129
28	501	16797
29	509	16477
30	512	16035
31	522	15797
32	548	16070
33	598	17009
34	602	16610
35	610	16337
36	619	16124
37	628	15908
38	635	15648
39	646	15524
40	649	15197
41	657	14999
42	676	15064
43	686	14911
44	697	14803
45	702	14564
46	706	14317
47	709	14078
48	715	13892
49	720	13694
50	723	13459
51	730	13316
52	736	13158
53	739	12947
54	741	12748
55	744	12554
56	748	12389
57	751	12203
58	753	12025
59	756	11850
60	759	11693
61	767	11606
62	769	11450
63	773	11309
64	777	11182
65	780	11039
66	782	10897
67	783	10742
68	786	10613
69	789	10487
70	793	10383
71	796	10260
72	798	10144
73	801	10029
74	804	9916
75	806	9808
76	809	9701
77	812	9599
78	857	9993
79	875	10062
80	893	10136
81	913	10232
82	952	10518
83	984	10738
84	1138	12255
85	1147	12196
86	1186	12456
87	1193	12364
88	1198	12266
89	1202	12160
90	1205	12040
91	1208	11926
92	1211	11810
93	1213	11698
94	1216	11587
95	1218	11477
96	1221	11369
97	1224	11268
98	1226	11165
99	1229	11063
100	1231	10965
101	1233	10856
102	1235	10760
103	1238	10672
104	1241	10580
105	1243	10489
106	1246	10402
107	1249	10316
108	1251	10231
109	1254	10147
110	1256	10065
111	1259	9984
112	1262	9906
113	1264	9828
114	1267	9752
115	1269	9671
116	1271	9598
117	1274	9526
118	1276	9449
119	1279	9380
120	1282	9314
121	1284	9244
122	1285	9169
123	1288	9103
124	1291	9040
125	1293	8975
126	1296	8913
127	1298	8844
128	1301	8784
129	1303	8725
130	1306	8667
131	1309	8608
132	1317	8585
133	1319	8529
134	1322	8473
135	1325	8417
136	1327	8364
137	1331	8314
138	1333	8262
139	1336	8211
140	1339	8160
141	1342	8109
142	1344	8058
143	1347	8009
144	1350	7961
145	1352	7913
146	1355	7866
147	1359	7825
148	1362	7779
149	1364	7731
150	1367	7686
151	1369	7642
152	1372	7598
153	1375	7554
154	1378	7512
155	1383	7486
156	1389	7459
157	1391	7417
158	1394	7377
159	1397	7336
160	1400	7297
161	1402	7256
162	1405	7216
163	1408	7177
164	1410	7137
165	1413	7099
166	1416	7063
167	1418	7025
168	1421	6990
169	1424	6953
170	1426	6917
171	1429	6881
172	1432	6845
173	1434	6810
174	1437	6776
175	1440	6742
176	1443	6710
177	1445	6676
178	1448	6643
179	1451	6610
180	1452	6571
181	1454	6539
182	1457	6508
183	1460	6476
184	1463	6445
185	1465	6414
186	1468	6383
187	1470	6353
188	1473	6323
189	1476	6293
