iter	Passed	Remaining
0	160	160524
1	164	81925
2	192	63854
3	228	56982
4	241	48106
5	257	42731
6	273	38739
7	281	34924
8	284	31297
9	288	28573
10	299	26912
11	315	26000
12	350	26579
13	366	25784
14	372	24447
15	374	23061
16	381	22043
17	383	20940
18	389	20087
19	392	19211
20	403	18822
21	406	18073
22	417	17743
23	420	17088
24	423	16498
25	428	16062
26	431	15540
27	433	15059
28	436	14620
29	445	14394
30	456	14265
31	459	13885
32	462	13538
33	464	13204
34	481	13286
35	498	13344
36	524	13661
37	559	14171
38	587	14473
39	623	14966
40	652	15253
41	679	15505
42	708	15759
43	728	15830
44	771	16366
45	776	16093
46	779	15801
47	794	15751
48	804	15611
49	807	15342
50	822	15297
51	824	15036
52	840	15012
53	857	15018
54	871	14976
55	887	14960
56	968	16016
57	981	15932
58	988	15765
59	1021	15997
60	1031	15877
61	1034	15648
62	1036	15422
63	1057	15470
64	1066	15334
65	1076	15236
66	1079	15035
67	1085	14879
68	1088	14688
69	1091	14504
70	1094	14322
71	1097	14141
72	1102	14002
73	1106	13848
74	1112	13716
75	1115	13561
76	1118	13401
77	1120	13245
78	1123	13094
79	1133	13036
80	1136	12891
81	1139	12752
82	1145	12653
83	1152	12566
84	1155	12436
85	1170	12437
86	1179	12372
87	1184	12276
88	1187	12150
89	1216	12296
90	1230	12290
91	1235	12190
92	1266	12348
93	1289	12432
94	1303	12419
95	1323	12462
96	1334	12421
97	1338	12322
98	1369	12466
99	1396	12569
100	1402	12479
101	1430	12590
102	1434	12495
103	1448	12480
104	1475	12575
105	1483	12508
106	1490	12438
107	1499	12386
108	1515	12388
109	1523	12324
110	1526	12227
111	1530	12134
112	1533	12033
113	1555	12086
114	1570	12085
115	1577	12018
116	1578	11916
117	1589	11883
118	1604	11882
119	1607	11789
120	1610	11697
121	1615	11626
122	1618	11541
123	1621	11454
124	1624	11369
125	1626	11283
126	1637	11253
127	1639	11171
128	1642	11091
129	1655	11077
130	1658	10999
131	1669	10979
132	1675	10923
133	1680	10858
134	1682	10782
135	1685	10706
136	1699	10702
137	1701	10630
138	1709	10587
139	1712	10521
140	1715	10450
141	1717	10376
142	1730	10372
143	1749	10401
144	1768	10426
145	1773	10374
146	1786	10366
147	1789	10299
148	1796	10259
149	1799	10194
150	1801	10128
151	1805	10071
152	1819	10071
153	1867	10260
154	1900	10361
155	1927	10425
156	1932	10377
157	1947	10375
158	1949	10313
159	1959	10287
160	1961	10220
161	1964	10163
162	1979	10164
163	1995	10172
164	2021	10231
165	2049	10295
166	2055	10251
167	2069	10246
168	2085	10252
169	2088	10195
170	2098	10172
171	2100	10114
172	2103	10056
173	2109	10015
174	2112	9958
175	2116	9910
176	2119	9855
177	2127	9824
178	2131	9777
179	2134	9724
180	2140	9686
181	2144	9636
182	2146	9583
183	2149	9530
184	2151	9477
185	2166	9481
186	2169	9431
187	2177	9406
188	2180	9358
189	2192	9346
190	2195	9298
191	2200	9262
192	2203	9215
193	2207	9170
194	2210	9123
195	2224	9123
196	2227	9078
197	2233	9045
198	2236	9001
199	2238	8954
200	2241	8909
201	2252	8897
202	2289	8989
203	2299	8973
204	2302	8931
205	2306	8890
206	2335	8946
207	2353	8959
208	2355	8915
209	2361	8884
210	2365	8844
211	2367	8801
212	2370	8759
213	2382	8749
214	2384	8707
215	2387	8666
216	2400	8662
217	2403	8620
218	2424	8647
219	2431	8620
220	2434	8580
221	2444	8567
222	2447	8527
223	2450	8488
224	2459	8470
225	2461	8430
226	2464	8392
227	2467	8353
228	2477	8341
229	2486	8325
230	2489	8287
231	2520	8343
232	2525	8313
233	2528	8275
234	2531	8239
235	2542	8230
236	2545	8193
237	2547	8157
238	2554	8132
239	2556	8096
240	2559	8060
241	2562	8026
242	2572	8014
243	2575	7979
244	2578	7944
245	2583	7919
246	2586	7885
247	2590	7855
248	2593	7822
249	2607	7823
250	2610	7790
251	2617	7768
252	2624	7749
253	2637	7745
254	2651	7747
255	2656	7721
256	2682	7754
257	2706	7784
258	2733	7820
259	2746	7817
260	2841	8046
261	3013	8487
262	3062	8580
263	3092	8622
264	3102	8604
265	3109	8579
266	3129	8591
267	3145	8590
268	3157	8579
269	3159	8542
270	3162	8506
271	3181	8515
272	3187	8487
273	3190	8453
274	3193	8417
275	3195	8382
276	3243	8466
277	3247	8433
278	3257	8419
279	3287	8452
280	3294	8429
281	3335	8492
282	3341	8465
283	3343	8430
284	3347	8397
285	3350	8363
286	3358	8342
287	3362	8311
288	3364	8277
289	3367	8243
290	3369	8210
291	3383	8203
292	3386	8170
293	3396	8156
294	3399	8125
295	3402	8092
296	3406	8063
297	3409	8032
298	3419	8017
299	3423	7988
300	3450	8014
301	3521	8138
302	3580	8236
303	3599	8240
304	3633	8279
305	3648	8274
306	3664	8271
307	3703	8321
308	3726	8333
309	3731	8305
310	3748	8304
311	3759	8290
312	3952	8675
313	3983	8702
314	3986	8668
315	4002	8662
316	4059	8745
317	4084	8760
318	4112	8778
319	4130	8778
320	4146	8771
321	4173	8787
322	4181	8763
323	4191	8745
324	4196	8715
325	4329	8951
326	4386	9028
327	4519	9259
328	4558	9297
329	4599	9338
330	4875	9854
331	4891	9841
332	4893	9800
333	4902	9776
334	4904	9736
335	4907	9697
336	4912	9663
337	4914	9625
338	4917	9588
339	4919	9550
340	4921	9511
341	4923	9473
342	4927	9439
343	4966	9470
344	5220	9911
345	5275	9971
346	5318	10008
347	5322	9972
348	5342	9965
349	5356	9947
350	5470	10114
351	5534	10189
352	5563	10197
353	5596	10212
354	5625	10221
355	5633	10190
356	5640	10159
357	5643	10119
358	5646	10081
359	5657	10058
360	5660	10019
361	5663	9981
362	5669	9949
363	5672	9910
364	5675	9873
365	5677	9835
366	5684	9804
367	5710	9806
368	5725	9791
369	5738	9771
370	5748	9745
371	5753	9712
372	5755	9674
373	5762	9645
374	5765	9609
375	5768	9572
376	5770	9536
377	5773	9499
378	5795	9496
379	5802	9467
380	5815	9448
381	5818	9412
382	5821	9377
383	5827	9348
384	5830	9313
385	5833	9278
386	5835	9243
387	5847	9223
388	5849	9188
389	5852	9154
390	5864	9134
391	5867	9099
392	5877	9077
393	5879	9043
394	5882	9010
395	5888	8982
396	5891	8949
397	5894	8916
398	5897	8883
399	5900	8851
400	5909	8827
401	5915	8799
402	5918	8767
403	5921	8735
404	5927	8707
405	5930	8676
406	5932	8644
407	5935	8611
408	5938	8580
409	5940	8549
410	5945	8520
411	5947	8488
412	5959	8470
413	5966	8444
414	5968	8413
415	5972	8385
416	5975	8354
417	5988	8338
418	5993	8310
419	5998	8283
420	6001	8254
421	6004	8224
422	6007	8195
423	6018	8176
424	6021	8146
425	6024	8117
426	6031	8093
427	6034	8064
428	6037	8035
429	6039	8006
430	6053	7991
431	6055	7962
432	6061	7937
433	6064	7909
434	6067	7880
435	6069	7851
436	6072	7823
437	6085	7807
438	6088	7781
439	6104	7769
440	6111	7746
441	6113	7718
442	6123	7699
443	6131	7677
444	6142	7661
445	6145	7633
446	6152	7611
447	6155	7584
448	6159	7558
449	6162	7531
450	6172	7514
451	6175	7487
452	6178	7461
453	6189	7444
454	6193	7418
455	6202	7399
456	6219	7390
457	6225	7367
458	6235	7349
459	6238	7323
460	6241	7297
461	6247	7274
462	6249	7248
463	6253	7224
464	6258	7200
465	6264	7178
466	6267	7153
467	6272	7130
468	6276	7106
469	6279	7080
470	6281	7054
471	6284	7029
472	6310	7030
473	6312	7005
474	6315	6979
475	6317	6954
476	6329	6940
477	6332	6915
478	6341	6897
479	6347	6876
480	6356	6858
481	6360	6835
482	6362	6810
483	6367	6788
484	6373	6767
485	6375	6742
486	6378	6719
487	6384	6698
488	6387	6675
489	6390	6651
490	6399	6633
491	6401	6610
492	6412	6594
493	6414	6570
494	6417	6547
495	6423	6527
496	6426	6503
497	6428	6480
498	6431	6457
499	6443	6443
500	6446	6420
501	6454	6402
502	6457	6380
503	6459	6357
504	6462	6334
505	6474	6320
506	6477	6298
507	6481	6276
508	6491	6262
509	6495	6240
510	6505	6225
511	6510	6205
512	6521	6190
513	6524	6168
514	6527	6147
515	6540	6134
516	6544	6114
517	6552	6097
518	6555	6075
519	6557	6052
520	6560	6031
521	6573	6018
522	6575	5997
523	6583	5980
524	6586	5958
525	6588	5937
526	6591	5916
527	6604	5904
528	6607	5882
529	6613	5865
530	6616	5843
531	6619	5822
532	6621	5801
533	6624	5780
534	6634	5766
535	6636	5745
536	6643	5727
537	6646	5707
538	6648	5686
539	6651	5666
540	6659	5650
541	6663	5631
542	6666	5611
543	6676	5596
544	6682	5579
545	6698	5569
546	6704	5552
547	6707	5532
548	6710	5512
549	6713	5492
550	6718	5474
551	6724	5457
552	6727	5437
553	6730	5418
554	6736	5401
555	6738	5381
556	6741	5361
557	6744	5342
558	6755	5329
559	6758	5310
560	6767	5295
561	6770	5276
562	6772	5256
563	6775	5237
564	6778	5218
565	6788	5205
566	6790	5185
567	6793	5166
568	6810	5158
569	6824	5148
570	6839	5138
571	6851	5126
572	6853	5107
573	6857	5089
574	6868	5076
575	6871	5057
576	6873	5039
577	6883	5025
578	6885	5006
579	6888	4988
580	6897	4974
581	6903	4958
582	6911	4943
583	6915	4926
584	6918	4907
585	6921	4889
586	6923	4871
587	6926	4853
588	6929	4835
589	6931	4817
590	6946	4807
591	6955	4793
592	6958	4775
593	6961	4757
594	6963	4740
595	6974	4727
596	6976	4709
597	6979	4692
598	6992	4680
599	6995	4663
600	7003	4649
601	7006	4631
602	7009	4614
603	7014	4598
604	7017	4581
605	7019	4564
606	7022	4546
607	7025	4529
608	7035	4517
609	7038	4500
610	7048	4487
611	7050	4470
612	7057	4455
613	7072	4446
614	7078	4431
615	7081	4414
616	7084	4397
617	7087	4380
618	7095	4367
619	7103	4353
620	7109	4338
621	7112	4322
622	7115	4305
623	7117	4289
624	7126	4275
625	7130	4259
626	7132	4243
627	7138	4228
628	7141	4211
629	7145	4196
630	7148	4180
631	7150	4163
632	7160	4151
633	7162	4135
634	7169	4121
635	7172	4105
636	7175	4089
637	7178	4073
638	7188	4061
639	7195	4047
640	7201	4033
641	7204	4017
642	7206	4001
643	7209	3985
644	7219	3973
645	7221	3957
646	7224	3941
647	7231	3928
648	7233	3912
649	7236	3896
650	7239	3880
651	7241	3865
652	7252	3853
653	7254	3838
654	7257	3822
655	7264	3809
656	7270	3795
657	7273	3780
658	7290	3772
659	7294	3757
660	7304	3746
661	7307	3730
662	7310	3715
663	7317	3702
664	7320	3687
665	7322	3672
666	7325	3657
667	7342	3649
668	7387	3654
669	7403	3646
670	7429	3642
671	7445	3634
672	7461	3625
673	7469	3613
674	7487	3604
675	7502	3595
676	7527	3591
677	7554	3587
678	7571	3579
679	7614	3583
680	7626	3572
681	7632	3559
682	7663	3557
683	7669	3543
684	7684	3533
685	7690	3520
686	7700	3508
687	7728	3504
688	7731	3489
689	7734	3474
690	7743	3462
691	7746	3447
692	7750	3433
693	7755	3419
694	7758	3404
695	7760	3389
696	7763	3374
697	7773	3363
698	7776	3348
699	7791	3339
700	7794	3324
701	7805	3313
702	7818	3303
703	7820	3288
704	7823	3273
705	7826	3259
706	7836	3247
707	7839	3233
708	7843	3219
709	7857	3209
710	7865	3197
711	7869	3183
712	7872	3168
713	7874	3154
714	7882	3142
715	7885	3127
716	7896	3116
717	7898	3102
718	7904	3089
719	7907	3075
720	7911	3061
721	7914	3047
722	7920	3034
723	7942	3027
724	7954	3017
725	7959	3004
726	7967	2991
727	7970	2977
728	7972	2963
729	7978	2950
730	7991	2940
731	7994	2926
732	8000	2914
733	8002	2900
734	8006	2886
735	8009	2873
736	8019	2861
737	8022	2848
738	8024	2834
739	8029	2821
740	8033	2807
741	8035	2794
742	8047	2783
743	8057	2772
744	8060	2758
745	8063	2745
746	8065	2731
747	8068	2718
748	8089	2710
749	8093	2697
750	8096	2684
751	8106	2673
752	8109	2660
753	8112	2646
754	8118	2634
755	8124	2622
756	8127	2608
757	8150	2602
758	8153	2588
759	8156	2575
760	8159	2562
761	8176	2553
762	8181	2541
763	8184	2528
764	8195	2517
765	8199	2504
766	8203	2491
767	8208	2479
768	8215	2467
769	8221	2455
770	8225	2442
771	8228	2430
772	8234	2418
773	8237	2405
774	8242	2393
775	8245	2380
776	8251	2368
777	8253	2355
778	8256	2342
779	8270	2332
780	8286	2323
781	8292	2311
782	8295	2298
783	8297	2286
784	8300	2273
785	8303	2260
786	8308	2248
787	8311	2236
788	8314	2223
789	8322	2212
790	8324	2199
791	8327	2187
792	8330	2174
793	8338	2163
794	8341	2150
795	8368	2144
796	8377	2133
797	8384	2122
798	8398	2112
799	8417	2104
800	8428	2093
801	8440	2083
802	8461	2075
803	8470	2064
804	8593	2081
805	8706	2095
806	8723	2086
807	8729	2074
808	8735	2062
809	8738	2049
810	8742	2037
811	8744	2024
812	8755	2013
813	8760	2001
814	8766	1989
815	8774	1978
816	8776	1965
817	8782	1954
818	8798	1944
819	8802	1932
820	8804	1919
821	8807	1907
822	8818	1896
823	8821	1884
824	8824	1871
825	8830	1860
826	8833	1847
827	8836	1835
828	8839	1823
829	8862	1815
830	8869	1803
831	8880	1793
832	8883	1780
833	8885	1768
834	8892	1757
835	8894	1744
836	8897	1732
837	8899	1720
838	8902	1708
839	8917	1698
840	8922	1686
841	8925	1674
842	8928	1662
843	8931	1650
844	8941	1640
845	8945	1628
846	8950	1616
847	8962	1606
848	8965	1594
849	8974	1583
850	8978	1572
851	8981	1560
852	8988	1549
853	8991	1537
854	9020	1529
855	9022	1517
856	9026	1506
857	9028	1494
858	9053	1486
859	9085	1479
860	9088	1467
861	9101	1457
862	9105	1445
863	9121	1435
864	9135	1425
865	9144	1414
866	9168	1406
867	9183	1396
868	9185	1384
869	9199	1374
870	9202	1363
871	9215	1352
872	9217	1340
873	9233	1331
